benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l3_det_map_resub_l3;1020;384;255;129;0.08844431
router;map_resub_l3_det_map_resub_l3;257;185;54;40;0.06643753
dec;map_resub_l3_det_map_resub_l3;304;304;3;3;0.09398774
priority;map_resub_l3_det_map_resub_l3;978;450;250;103;0.1474466
ctrl;map_resub_l3_det_map_resub_l3;174;73;10;10;0.2926696
int2float;map_resub_l3_det_map_resub_l3;260;191;16;10;0.27932858
i2c;map_resub_l3_det_map_resub_l3;1342;1103;20;12;0.39853746
bar;map_resub_l3_det_map_resub_l3;3336;2559;12;13;0.7982661
max;map_resub_l3_det_map_resub_l3;2865;2205;287;171;1.3335578
voter;map_resub_l3_det_map_resub_l3;13758;4112;70;43;2.3366277
square;map_resub_l3_det_map_resub_l3;18484;9055;250;126;3.2823396
sqrt;map_resub_l3_det_map_resub_l3;24618;12558;5058;2247;5.275072
arbiter;map_resub_l3_det_map_resub_l3;11839;6866;87;60;5.8315587
multiplier;map_resub_l3_det_map_resub_l3;27062;19107;274;149;8.465742
sin;map_resub_l3_det_map_resub_l3;5416;4139;225;125;9.860781
log2;map_resub_l3_det_map_resub_l3;32060;24233;444;204;11.405016
div;map_resub_l3_det_map_resub_l3;57247;39100;4372;2750;15.343684
cavlc;map_resub_l3_det_map_resub_l3;693;523;16;13;20.571058
mem_ctrl;map_resub_l3_det_map_resub_l3;46836;38437;114;98;19.916245
hyp;map_resub_l3_det_map_resub_l3;214335;123705;24801;8885;43.92858
