benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l4_det_map_resub;1020;384;255;129;0.08036239
dec;map_resub_l4_det_map_resub;304;304;3;3;0.07793567
router;map_resub_l4_det_map_resub;257;183;54;40;0.058817647
priority;map_resub_l4_det_map_resub;978;460;250;103;0.13584858
int2float;map_resub_l4_det_map_resub;260;192;16;10;0.24080364
ctrl;map_resub_l4_det_map_resub;174;73;10;10;0.2576164
i2c;map_resub_l4_det_map_resub;1342;1110;20;12;0.34536293
bar;map_resub_l4_det_map_resub;3336;2564;12;13;0.68232834
max;map_resub_l4_det_map_resub;2865;2218;287;164;1.1288061
voter;map_resub_l4_det_map_resub;13758;4124;70;45;2.1464615
square;map_resub_l4_det_map_resub;18484;9062;250;126;2.9247253
arbiter;map_resub_l4_det_map_resub;11839;6866;87;60;5.04067
sqrt;map_resub_l4_det_map_resub;24618;12602;5058;2327;5.0022917
multiplier;map_resub_l4_det_map_resub;27062;19092;274;149;7.4006624
sin;map_resub_l4_det_map_resub;5416;4142;225;125;8.527031
log2;map_resub_l4_det_map_resub;32060;24242;444;202;9.887637
div;map_resub_l4_det_map_resub;57247;39221;4372;2742;13.576474
cavlc;map_resub_l4_det_map_resub;693;525;16;13;17.707296
mem_ctrl;map_resub_l4_det_map_resub;46836;38521;114;97;17.086866
hyp;map_resub_l4_det_map_resub;214335;123725;24801;8887;38.431732
