benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l5;1020;384;255;129;0.08142361
router;map_resub_l5;257;183;54;40;0.059279233
dec;map_resub_l5;304;304;3;3;0.07798817
priority;map_resub_l5;978;455;250;103;0.13404864
ctrl;map_resub_l5;174;73;10;10;0.25183937
int2float;map_resub_l5;260;191;16;10;0.23142764
i2c;map_resub_l5;1342;1113;20;12;0.35175115
bar;map_resub_l5;3336;2580;12;13;0.68868417
max;map_resub_l5;2865;2218;287;160;1.1340663
voter;map_resub_l5;13758;4125;70;44;2.2370343
square;map_resub_l5;18484;9063;250;126;2.9698412
arbiter;map_resub_l5;11839;6866;87;60;5.212961
sqrt;map_resub_l5;24618;12642;5058;2329;4.83947
multiplier;map_resub_l5;27062;19086;274;149;7.5029263
sin;map_resub_l5;5416;4132;225;128;8.58066
log2;map_resub_l5;32060;24107;444;205;9.841075
div;map_resub_l5;57247;38935;4372;2743;13.53736
cavlc;map_resub_l5;693;527;16;13;17.948736
mem_ctrl;map_resub_l5;46836;38739;114;96;17.044537
hyp;map_resub_l5;214335;123750;24801;8911;38.832405
