benchmark;flow;op_num;op_type;size_mig;depth_mig;runtime;size;depth
router;map_resub_l2_det_map_resub;0;root;257;54;0;257;54
router;map_resub_l2_det_map_resub;1;mig_mapper;218;47;0.0186844;257;54
router;map_resub_l2_det_map_resub;2;mig_resub;203;47;0.002407288;257;54
router;map_resub_l2_det_map_resub;3;mig_mapper;194;46;0.008573958;257;54
router;map_resub_l2_det_map_resub;4;mig_resub;192;46;0.002170684;257;54
router;map_resub_l2_det_map_resub;5;mig_det_randomize;192;46;0.0;257;54
router;map_resub_l2_det_map_resub;6;mig_mapper;192;42;0.007557976;257;54
router;map_resub_l2_det_map_resub;7;mig_resub;192;42;0.002229953;257;54
router;map_resub_l2_det_map_resub;8;end;192;42;0.0;257;54
adder;map_resub_l2_det_map_resub;0;root;1020;255;0;1020;255
adder;map_resub_l2_det_map_resub;1;mig_mapper;384;129;0.052989572;1020;255
adder;map_resub_l2_det_map_resub;2;mig_resub;384;129;0.001420164;1020;255
adder;map_resub_l2_det_map_resub;3;mig_mapper;384;129;0.005608434;1020;255
adder;map_resub_l2_det_map_resub;4;mig_resub;384;129;0.001369375;1020;255
adder;map_resub_l2_det_map_resub;5;mig_det_randomize;384;129;0.0;1020;255
adder;map_resub_l2_det_map_resub;6;mig_mapper;384;129;0.005174603;1020;255
adder;map_resub_l2_det_map_resub;7;mig_resub;384;129;0.001385298;1020;255
adder;map_resub_l2_det_map_resub;8;end;384;129;0.0;1020;255
dec;map_resub_l2_det_map_resub;0;root;304;3;0;304;3
dec;map_resub_l2_det_map_resub;1;mig_mapper;304;3;0.010696343;304;3
dec;map_resub_l2_det_map_resub;2;mig_resub;304;3;0.00519314;304;3
dec;map_resub_l2_det_map_resub;3;mig_mapper;304;3;0.01052111;304;3
dec;map_resub_l2_det_map_resub;4;mig_resub;304;3;0.005087434;304;3
dec;map_resub_l2_det_map_resub;5;mig_det_randomize;304;3;0.0;304;3
dec;map_resub_l2_det_map_resub;6;mig_mapper;304;3;0.010516046;304;3
dec;map_resub_l2_det_map_resub;7;mig_resub;304;3;0.005179148;304;3
dec;map_resub_l2_det_map_resub;8;end;304;3;0.0;304;3
priority;map_resub_l2_det_map_resub;0;root;978;250;0;978;250
priority;map_resub_l2_det_map_resub;1;mig_mapper;908;124;0.05625264;978;250
priority;map_resub_l2_det_map_resub;2;mig_resub;640;123;0.005862191;978;250
priority;map_resub_l2_det_map_resub;3;mig_mapper;630;122;0.023100954;978;250
priority;map_resub_l2_det_map_resub;4;mig_resub;465;123;0.005204591;978;250
priority;map_resub_l2_det_map_resub;5;mig_det_randomize;465;123;0.0;978;250
priority;map_resub_l2_det_map_resub;6;mig_mapper;465;123;0.013020347;978;250
priority;map_resub_l2_det_map_resub;7;mig_resub;461;123;0.003275472;978;250
priority;map_resub_l2_det_map_resub;8;end;461;123;0.0;978;250
int2float;map_resub_l2_det_map_resub;0;root;260;16;0;260;16
int2float;map_resub_l2_det_map_resub;1;mig_mapper;235;11;0.011875398;260;16
int2float;map_resub_l2_det_map_resub;2;mig_resub;199;10;0.08520884;260;16
