benchmark;flow;op_num;op_type;size_mig;depth_mig;runtime;size;depth
adder;map_resub_l6;0;root;1020;255;0;1020;255
adder;map_resub_l6;1;mig_mapper;384;129;0.05223027;1020;255
adder;map_resub_l6;2;mig_resub;384;129;0.001422068;1020;255
adder;map_resub_l6;3;mig_mapper;384;129;0.005633485;1020;255
adder;map_resub_l6;4;mig_resub;384;129;0.001413209;1020;255
adder;map_resub_l6;5;mig_mapper;384;129;0.005057954;1020;255
adder;map_resub_l6;6;mig_resub;384;129;0.001405579;1020;255
adder;map_resub_l6;7;mig_mapper;384;129;0.005020704;1020;255
adder;map_resub_l6;8;mig_resub;384;129;0.001410104;1020;255
adder;map_resub_l6;9;mig_mapper;384;129;0.005026301;1020;255
adder;map_resub_l6;10;mig_resub;384;129;0.001414054;1020;255
adder;map_resub_l6;11;mig_mapper;384;129;0.005009214;1020;255
adder;map_resub_l6;12;mig_resub;384;129;0.001403369;1020;255
adder;map_resub_l6;13;end;384;129;0.0;1020;255
router;map_resub_l6;0;root;257;54;0;257;54
router;map_resub_l6;1;mig_mapper;218;47;0.020750629;257;54
router;map_resub_l6;2;mig_resub;203;47;0.002416005;257;54
router;map_resub_l6;3;mig_mapper;194;46;0.008474237;257;54
router;map_resub_l6;4;mig_resub;192;46;0.002098516;257;54
router;map_resub_l6;5;mig_mapper;191;43;0.007257543;257;54
router;map_resub_l6;6;mig_resub;187;43;0.002120085;257;54
router;map_resub_l6;7;mig_mapper;184;41;0.006409309;257;54
router;map_resub_l6;8;mig_resub;183;41;0.002251037;257;54
router;map_resub_l6;9;mig_mapper;184;41;0.006084749;257;54
router;map_resub_l6;10;mig_resub;183;41;0.002235786;257;54
router;map_resub_l6;11;mig_mapper;184;41;0.005837479;257;54
router;map_resub_l6;12;mig_resub;183;41;0.00223798;257;54
router;map_resub_l6;13;end;183;41;0.0;257;54
priority;map_resub_l6;0;root;978;250;0;978;250
priority;map_resub_l6;1;mig_mapper;908;124;0.056793854;978;250
priority;map_resub_l6;2;mig_resub;640;123;0.005962445;978;250
