benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l3;1020;384;255;129;0.12103763
dec;map_resub_l3;304;304;3;3;0.07865953
router;map_resub_l3;257;187;54;42;0.08973103
ss_pcm;map_resub_l3;405;318;7;6;0.051130243
int2float;map_resub_l3;260;191;16;10;0.2880157
ctrl;map_resub_l3;174;73;10;10;0.3369316
priority;map_resub_l3;978;460;250;103;0.24987078
sasc;map_resub_l3;773;559;9;9;0.17739557
c17;map_resub_l3;6;6;3;3;0.001137472
c432;map_resub_l3;208;147;26;27;0.0786528
c880;map_resub_l3;325;271;25;18;0.063823625
usb_phy;map_resub_l3;460;321;10;8;0.18705088
i2c;map_resub_l3;1342;1119;20;11;0.46410233
iwls05_i2c;map_resub_l3;1166;872;14;12;0.4162179
c1908;map_resub_l3;341;245;27;17;0.12032339
c2670;map_resub_l3;716;472;20;15;0.14262192
c5315;map_resub_l3;1776;1132;37;24;0.30239248
simple_spi;map_resub_l3;1053;769;12;10;0.31768298
c499;map_resub_l3;398;307;19;16;0.15571083
c1355;map_resub_l3;502;298;25;16;0.19668445
c3540;map_resub_l3;1024;772;41;28;0.4209069
bar;map_resub_l3;3336;2588;12;13;0.9111933
c7552;map_resub_l3;1469;1120;26;22;0.49286476
c6288;map_resub_l3;2337;976;120;46;0.6750268
max;map_resub_l3;2865;2264;287;159;1.374324
voter;map_resub_l3;13758;4225;70;47;3.1890154
ac97_ctrl;map_resub_l3;14268;10607;12;9;3.1948926
arbiter;map_resub_l3;11839;6866;87;60;4.054853
square;map_resub_l3;18484;9079;250;126;3.457346
systemcaes;map_resub_l3;12384;9105;46;35;3.7687738
iwls05_mem_ctrl;map_resub_l3;15337;12294;36;32;3.848468
usb_funct;map_resub_l3;15894;12083;27;23;3.8742838
sqrt;map_resub_l3;24618;12691;5058;2371;5.1668324
sin;map_resub_l3;5416;4137;225;128;6.8384023
multiplier;map_resub_l3;27062;19087;274;149;6.676135
spi;map_resub_l3;3808;2981;32;24;8.13218
log2;map_resub_l3;32060;24114;444;206;7.615124
systemcdes;map_resub_l3;2999;2149;27;27;10.162826
pci_bridge32;map_resub_l3;22806;17637;30;24;10.72003
DMA;map_resub_l3;24393;19348;27;22;10.4915
cavlc;map_resub_l3;693;535;16;13;11.991335
des_area;map_resub_l3;4857;3636;33;37;12.043386
div;map_resub_l3;57247;39464;4372;2753;11.434767
mem_ctrl;map_resub_l3;46836;38940;114;96;13.011799
DSP;map_resub_l3;45420;36923;63;50;14.033756
tv80;map_resub_l3;9647;7136;52;43;19.085192
RISC;map_resub_l3;75613;57708;40;36;16.60511
ethernet;map_resub_l3;86726;65672;32;29;21.651323
hyp;map_resub_l3;214335;123760;24801;8911;30.905848
vga_lcd;map_resub_l3;126708;88588;24;27;36.306587
wb_conmax;map_resub_l3;47853;41506;27;26;42.188896
netcard;map_resub_l3;803848;522388;40;37;199.48235
leon3mp;map_resub_l3;652353;579925;55;46;256.11545
leon2;map_resub_l3;789647;777151;58;49;232.18536
des_perf;map_resub_l3;82650;59642;20;27;591.66907
