benchmark;flow;size;size_mig;depth;depth_mig;runtime
ctrl;map_resub_l2_det_map_resub;174;73;10;10;0.20354615
router;map_resub_l2_det_map_resub;257;192;54;42;0.085174896
priority;map_resub_l2_det_map_resub;978;461;250;123;0.18102206
adder;map_resub_l2_det_map_resub;1020;384;255;129;0.15942065
dec;map_resub_l2_det_map_resub;304;304;3;3;0.109696105
i2c;map_resub_l2_det_map_resub;1342;1113;20;11;0.3460876
iwls05_i2c;map_resub_l2_det_map_resub;1166;868;14;13;0.26926494
int2float;map_resub_l2_det_map_resub;260;191;16;10;0.31750467
c1908;map_resub_l2_det_map_resub;341;245;27;17;0.056321006
c880;map_resub_l2_det_map_resub;325;271;25;17;0.061996736
sasc;map_resub_l2_det_map_resub;773;560;9;9;0.16439031
c17;map_resub_l2_det_map_resub;6;5;3;3;0.0011476411
ss_pcm;map_resub_l2_det_map_resub;405;318;7;6;0.10740256
c432;map_resub_l2_det_map_resub;208;149;26;26;0.04222171
c499;map_resub_l2_det_map_resub;398;306;19;16;0.12548141
c2670;map_resub_l2_det_map_resub;716;472;20;16;0.11941078
bar;map_resub_l2_det_map_resub;3336;2572;12;13;0.700771
simple_spi;map_resub_l2_det_map_resub;1053;768;12;10;0.34510443
usb_phy;map_resub_l2_det_map_resub;460;319;10;8;0.17917906
c1355;map_resub_l2_det_map_resub;502;297;25;16;0.21652032
c5315;map_resub_l2_det_map_resub;1776;1128;37;23;0.2942966
c3540;map_resub_l2_det_map_resub;1024;776;41;28;0.39724094
c7552;map_resub_l2_det_map_resub;1469;1114;26;23;0.45857152
c6288;map_resub_l2_det_map_resub;2337;976;120;46;0.6103324
max;map_resub_l2_det_map_resub;2865;2274;287;162;1.5838467
voter;map_resub_l2_det_map_resub;13758;4217;70;50;2.7685654
ac97_ctrl;map_resub_l2_det_map_resub;14268;10613;12;9;2.911037
usb_funct;map_resub_l2_det_map_resub;15894;12073;27;23;2.978355
arbiter;map_resub_l2_det_map_resub;11839;6866;87;60;4.2422495
iwls05_mem_ctrl;map_resub_l2_det_map_resub;15337;12323;36;29;3.7735827
square;map_resub_l2_det_map_resub;18484;9076;250;126;4.1760936
sqrt;map_resub_l2_det_map_resub;24618;12768;5058;2330;4.999275
multiplier;map_resub_l2_det_map_resub;27062;19089;274;149;5.4891057
systemcaes;map_resub_l2_det_map_resub;12384;9087;46;31;5.8511314
log2;map_resub_l2_det_map_resub;32060;24232;444;203;7.4426036
sin;map_resub_l2_det_map_resub;5416;4138;225;126;8.885223
spi;map_resub_l2_det_map_resub;3808;2985;32;24;8.706178
systemcdes;map_resub_l2_det_map_resub;2999;2148;27;28;9.688057
cavlc;map_resub_l2_det_map_resub;693;530;16;13;10.8638115
des_area;map_resub_l2_det_map_resub;4857;3601;33;34;11.033469
DMA;map_resub_l2_det_map_resub;24393;20865;27;23;10.904996
pci_bridge32;map_resub_l2_det_map_resub;22806;17642;30;24;10.665398
div;map_resub_l2_det_map_resub;57247;40340;4372;2752;10.853785
mem_ctrl;map_resub_l2_det_map_resub;46836;38718;114;97;12.163528
DSP;map_resub_l2_det_map_resub;45420;36938;63;49;13.975476
tv80;map_resub_l2_det_map_resub;9647;7121;52;40;16.644958
RISC;map_resub_l2_det_map_resub;75613;57651;40;37;16.662893
ethernet;map_resub_l2_det_map_resub;86726;65670;32;30;22.414442
hyp;map_resub_l2_det_map_resub;214335;123726;24801;8869;30.814573
vga_lcd;map_resub_l2_det_map_resub;126708;88582;24;27;35.990204
wb_conmax;map_resub_l2_det_map_resub;47853;41451;27;26;41.774147
netcard;map_resub_l2_det_map_resub;803848;522386;40;36;202.07156
leon3mp;map_resub_l2_det_map_resub;652353;579904;55;46;250.41133
leon2;map_resub_l2_det_map_resub;789647;777008;58;49;231.76219
des_perf;map_resub_l2_det_map_resub;82650;59676;20;29;592.5908
leon3;map_resub_l2_det_map_resub;1088122;979148;59;43;343.0391
leon3_opt;map_resub_l2_det_map_resub;974977;952635;54;42;323.4957
aes_core;map_resub_l2_det_map_resub;21522;16428;26;21;2131.7551
