benchmark;flow;size;size_mig;depth;depth_mig;runtime
ctrl;map_resub_l3_det_map_resub_l3;174;73;10;10;0.40137455
adder;map_resub_l3_det_map_resub_l3;1020;384;255;129;0.11795942
router;map_resub_l3_det_map_resub_l3;257;185;54;39;0.12176659
c17;map_resub_l3_det_map_resub_l3;6;5;3;3;0.0021300311
priority;map_resub_l3_det_map_resub_l3;978;450;250;103;0.2644258
usb_phy;map_resub_l3_det_map_resub_l3;460;320;10;8;0.27310947
dec;map_resub_l3_det_map_resub_l3;304;304;3;3;0.21675801
c2670;map_resub_l3_det_map_resub_l3;716;472;20;16;0.25420037
c432;map_resub_l3_det_map_resub_l3;208;142;26;25;0.08970864
simple_spi;map_resub_l3_det_map_resub_l3;1053;762;12;10;0.3927674
c1908;map_resub_l3_det_map_resub_l3;341;245;27;17;0.16528551
c499;map_resub_l3_det_map_resub_l3;398;306;19;15;0.22471671
ss_pcm;map_resub_l3_det_map_resub_l3;405;318;7;6;0.1807974
sasc;map_resub_l3_det_map_resub_l3;773;558;9;9;0.36081606
c5315;map_resub_l3_det_map_resub_l3;1776;1129;37;23;0.5269795
c1355;map_resub_l3_det_map_resub_l3;502;298;25;16;0.28214794
c880;map_resub_l3_det_map_resub_l3;325;266;25;18;0.17988795
int2float;map_resub_l3_det_map_resub_l3;260;191;16;10;0.6208358
iwls05_i2c;map_resub_l3_det_map_resub_l3;1166;865;14;13;0.6414165
c3540;map_resub_l3_det_map_resub_l3;1024;765;41;26;0.73891
c6288;map_resub_l3_det_map_resub_l3;2337;976;120;46;0.8079412
i2c;map_resub_l3_det_map_resub_l3;1342;1103;20;12;0.9568889
c7552;map_resub_l3_det_map_resub_l3;1469;1108;26;26;0.83339524
bar;map_resub_l3_det_map_resub_l3;3336;2559;12;13;1.6315389
max;map_resub_l3_det_map_resub_l3;2865;2205;287;171;2.1237528
voter;map_resub_l3_det_map_resub_l3;13758;4112;70;43;3.8610692
square;map_resub_l3_det_map_resub_l3;18484;9055;250;126;5.114997
ac97_ctrl;map_resub_l3_det_map_resub_l3;14268;10589;12;10;5.1692357
usb_funct;map_resub_l3_det_map_resub_l3;15894;11985;27;23;5.5577207
systemcaes;map_resub_l3_det_map_resub_l3;12384;9080;46;33;7.849823
sqrt;map_resub_l3_det_map_resub_l3;24618;12558;5058;2247;8.093634
arbiter;map_resub_l3_det_map_resub_l3;11839;6866;87;60;8.663985
iwls05_mem_ctrl;map_resub_l3_det_map_resub_l3;15337;12079;36;30;8.636941
spi;map_resub_l3_det_map_resub_l3;3808;2965;32;21;10.038087
sin;map_resub_l3_det_map_resub_l3;5416;4138;225;125;12.383748
multiplier;map_resub_l3_det_map_resub_l3;27062;19107;274;149;11.699688
systemcdes;map_resub_l3_det_map_resub_l3;2999;2138;27;28;13.144395
log2;map_resub_l3_det_map_resub_l3;32060;24232;444;205;13.434154
des_area;map_resub_l3_det_map_resub_l3;4857;3593;33;33;17.753336
div;map_resub_l3_det_map_resub_l3;57247;39096;4372;2750;16.402489
DMA;map_resub_l3_det_map_resub_l3;24393;19305;27;21;18.405777
cavlc;map_resub_l3_det_map_resub_l3;693;523;16;13;21.739204
pci_bridge32;map_resub_l3_det_map_resub_l3;22806;17599;30;23;22.095284
mem_ctrl;map_resub_l3_det_map_resub_l3;46836;38466;114;98;22.894943
DSP;map_resub_l3_det_map_resub_l3;45420;36714;63;50;24.316345
RISC;map_resub_l3_det_map_resub_l3;75613;57419;40;37;25.561085
tv80;map_resub_l3_det_map_resub_l3;9647;7042;52;42;37.18247
ethernet;map_resub_l3_det_map_resub_l3;86726;65603;32;31;41.418755
hyp;map_resub_l3_det_map_resub_l3;214335;123689;24801;8885;43.69276
vga_lcd;map_resub_l3_det_map_resub_l3;126708;88538;24;27;65.31554
wb_conmax;map_resub_l3_det_map_resub_l3;47853;41209;27;25;80.79331
netcard;map_resub_l3_det_map_resub_l3;803848;522264;40;36;355.64185
leon3mp;map_resub_l3_det_map_resub_l3;652353;579664;55;43;483.49945
des_perf;map_resub_l3_det_map_resub_l3;82650;59289;20;30;795.25653
leon2;map_resub_l3_det_map_resub_l3;789647;776745;58;55;441.6256
leon3;map_resub_l3_det_map_resub_l3;1088122;978591;59;43;632.57874
leon3_opt;map_resub_l3_det_map_resub_l3;974977;953501;54;42;618.91614
aes_core;map_resub_l3_det_map_resub_l3;21522;16350;26;21;3590.5452
