benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;main;1020;384;255;129;1.0628926
c17;main;6;5;3;3;0.013265231
c432;main;208;165;26;26;0.88974124
simple_spi;main;1053;771;12;11;8.028968
c499;main;398;316;19;16;1.7206447
c880;main;325;271;25;18;1.2030973
c1355;main;502;316;25;16;1.8679401
bar;main;3336;2496;12;14;32.631042
c1908;main;341;244;27;18;1.4127685
c2670;main;716;472;20;16;4.450404
c3540;main;1024;775;41;27;16.466488
ac97_ctrl;main;14268;10672;12;13;153.38452
spi;main;3808;2950;32;21;121.74612
ss_pcm;main;405;319;7;6;2.3211818
c5315;main;1776;1129;37;23;18.630264
c6288;main;2337;976;120;46;7.361364
c7552;main;1469;1117;26;26;12.379667
