benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l3;1020;384;255;129;0.057036493
bar;map_resub_l3;3336;2588;12;13;0.3788899
div;map_resub_l3;57247;39463;4372;2752;8.920184
hyp;map_resub_l3;214335;123756;24801;8911;27.58119
log2;map_resub_l3;32060;24100;444;206;6.3144794
max;map_resub_l3;2865;2264;287;159;0.75000435
multiplier;map_resub_l3;27062;19087;274;149;4.8006587
sin;map_resub_l3;5416;4137;225;127;4.8449917
sqrt;map_resub_l3;24618;12691;5058;2371;3.5096524
square;map_resub_l3;18484;9079;250;126;2.2714288
arbiter;map_resub_l3;11839;6866;87;60;3.2702203
cavlc;map_resub_l3;693;534;16;13;10.689004
ctrl;map_resub_l3;174;73;10;10;0.16851954
dec;map_resub_l3;304;304;3;3;0.042387106
i2c;map_resub_l3;1342;1123;20;11;0.22186065
int2float;map_resub_l3;260;191;16;10;0.1597129
mem_ctrl;map_resub_l3;46836;38907;114;96;10.762201
priority;map_resub_l3;978;460;250;103;0.09143651
router;map_resub_l3;257;187;54;43;0.03633145
voter;map_resub_l3;13758;4225;70;47;1.6106828
ac97_ctrl;map_resub_l3;14268;10606;12;9;1.6734645
aes_core;map_resub_l3;21522;16478;26;22;2248.9812
des_area;map_resub_l3;4857;3635;33;37;10.266764
des_perf;map_resub_l3;82650;59619;20;27;589.8243
DMA;map_resub_l3;24393;19343;27;22;8.849102
DSP;map_resub_l3;45420;36938;63;50;12.384853
ethernet;map_resub_l3;86726;65672;32;29;19.802732
iwls05_i2c;map_resub_l3;1166;872;14;12;0.16005732
leon2;map_resub_l3;789647;777137;58;49;224.74712
leon3_opt;map_resub_l3;974977;952719;54;42;315.66782
leon3;map_resub_l3;1088122;979227;59;43;320.08548
leon3mp;map_resub_l3;652353;579904;55;46;244.11977
iwls05_mem_ctrl;map_resub_l3;15337;12318;36;32;2.9311728
netcard;map_resub_l3;803848;522385;40;37;192.31924
pci_bridge32;map_resub_l3;22806;17637;30;24;9.785671
RISC;map_resub_l3;75613;57711;40;36;13.952904
sasc;map_resub_l3;773;560;9;9;0.0738653
simple_spi;map_resub_l3;1053;769;12;10;0.09828161
spi;map_resub_l3;3808;2977;32;23;7.4960217
ss_pcm;map_resub_l3;405;318;7;6;0.032049164
systemcaes;map_resub_l3;12384;9105;46;35;2.7734628
systemcdes;map_resub_l3;2999;2145;27;27;8.333131
tv80;map_resub_l3;9647;7135;52;43;17.033718
usb_funct;map_resub_l3;15894;12081;27;23;1.8260075
usb_phy;map_resub_l3;460;321;10;8;0.074227706
vga_lcd;map_resub_l3;126708;88587;24;27;31.635881
wb_conmax;map_resub_l3;47853;41484;27;26;38.56364
c17;map_resub_l3;6;6;3;3;0.000539225
c432;map_resub_l3;208;147;26;27;0.021562234
c499;map_resub_l3;398;307;19;16;0.052132357
c880;map_resub_l3;325;271;25;18;0.031831674
c1355;map_resub_l3;502;298;25;16;0.06837401
c1908;map_resub_l3;341;245;27;17;0.034912415
c2670;map_resub_l3;716;472;20;15;0.06463694
c3540;map_resub_l3;1024;771;41;28;0.18421404
c5315;map_resub_l3;1776;1129;37;24;0.15628856
c6288;map_resub_l3;2337;976;120;46;0.27409387
c7552;map_resub_l3;1469;1120;26;22;0.1881411
