benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l3_mapl3_resubl3;1020;384;255;129;0.09051125
dec;map_resub_l3_mapl3_resubl3;304;304;3;3;0.11952994
router;map_resub_l3_mapl3_resubl3;257;183;54;41;0.063204676
priority;map_resub_l3_mapl3_resubl3;978;455;250;103;0.18916523
c432;map_resub_l3_mapl3_resubl3;208;147;26;26;0.091899246
c17;map_resub_l3_mapl3_resubl3;6;6;3;3;0.001920509
c1355;map_resub_l3_mapl3_resubl3;502;298;25;16;0.22668082
ctrl;map_resub_l3_mapl3_resubl3;174;73;10;10;0.51556396
ss_pcm;map_resub_l3_mapl3_resubl3;405;318;7;6;0.11527643
c5315;map_resub_l3_mapl3_resubl3;1776;1129;37;24;0.41277245
i2c;map_resub_l3_mapl3_resubl3;1342;1105;20;12;0.7131316
c2670;map_resub_l3_mapl3_resubl3;716;472;20;15;0.2425683
usb_phy;map_resub_l3_mapl3_resubl3;460;321;10;8;0.3103021
c1908;map_resub_l3_mapl3_resubl3;341;245;27;17;0.13937403
simple_spi;map_resub_l3_mapl3_resubl3;1053;764;12;10;0.35514036
sasc;map_resub_l3_mapl3_resubl3;773;559;9;9;0.30311784
c499;map_resub_l3_mapl3_resubl3;398;307;19;16;0.23256445
int2float;map_resub_l3_mapl3_resubl3;260;191;16;10;0.5611667
c3540;map_resub_l3_mapl3_resubl3;1024;769;41;28;0.6671495
c880;map_resub_l3_mapl3_resubl3;325;267;25;19;0.11874582
c6288;map_resub_l3_mapl3_resubl3;2337;976;120;46;0.75128543
iwls05_i2c;map_resub_l3_mapl3_resubl3;1166;868;14;14;0.56693256
c7552;map_resub_l3_mapl3_resubl3;1469;1118;26;24;0.7517585
bar;map_resub_l3_mapl3_resubl3;3336;2576;12;13;1.4394603
max;map_resub_l3_mapl3_resubl3;2865;2184;287;167;1.8413136
voter;map_resub_l3_mapl3_resubl3;13758;4117;70;43;2.7312486
square;map_resub_l3_mapl3_resubl3;18484;9063;250;126;4.2916627
ac97_ctrl;map_resub_l3_mapl3_resubl3;14268;10585;12;9;4.8058877
usb_funct;map_resub_l3_mapl3_resubl3;15894;12039;27;23;5.258936
systemcaes;map_resub_l3_mapl3_resubl3;12384;9103;46;32;7.018026
arbiter;map_resub_l3_mapl3_resubl3;11839;6866;87;60;7.5072083
sqrt;map_resub_l3_mapl3_resubl3;24618;12640;5058;2330;6.8691363
iwls05_mem_ctrl;map_resub_l3_mapl3_resubl3;15337;12182;36;32;7.17073
spi;map_resub_l3_mapl3_resubl3;3808;2964;32;21;10.359988
multiplier;map_resub_l3_mapl3_resubl3;27062;19087;274;149;10.678373
sin;map_resub_l3_mapl3_resubl3;5416;4132;225;127;11.987501
log2;map_resub_l3_mapl3_resubl3;32060;24092;444;205;11.527164
systemcdes;map_resub_l3_mapl3_resubl3;2999;2144;27;29;13.192399
des_area;map_resub_l3_mapl3_resubl3;4857;3631;33;36;17.223999
div;map_resub_l3_mapl3_resubl3;57247;38959;4372;2749;15.963459
DMA;map_resub_l3_mapl3_resubl3;24393;19305;27;22;18.058998
cavlc;map_resub_l3_mapl3_resubl3;693;527;16;13;23.33469
mem_ctrl;map_resub_l3_mapl3_resubl3;46836;38725;114;97;20.878435
pci_bridge32;map_resub_l3_mapl3_resubl3;22806;17609;30;24;22.176947
DSP;map_resub_l3_mapl3_resubl3;45420;36825;63;49;23.466639
RISC;map_resub_l3_mapl3_resubl3;75613;57537;40;38;25.52852
tv80;map_resub_l3_mapl3_resubl3;9647;7085;52;41;36.87047
ethernet;map_resub_l3_mapl3_resubl3;86726;65650;32;30;38.011253
hyp;map_resub_l3_mapl3_resubl3;214335;123781;24801;8911;41.00193
vga_lcd;map_resub_l3_mapl3_resubl3;126708;88579;24;27;61.879063
wb_conmax;map_resub_l3_mapl3_resubl3;47853;41358;27;26;79.33386
netcard;map_resub_l3_mapl3_resubl3;803848;522307;40;36;354.9578
leon3mp;map_resub_l3_mapl3_resubl3;652353;579715;55;45;472.7848
des_perf;map_resub_l3_mapl3_resubl3;82650;59404;20;27;812.05115
leon2;map_resub_l3_mapl3_resubl3;789647;776927;58;52;441.17523
leon3;map_resub_l3_mapl3_resubl3;1088122;978702;59;43;622.3899
leon3_opt;map_resub_l3_mapl3_resubl3;974977;953619;54;42;611.643
aes_core;map_resub_l3_mapl3_resubl3;21522;16432;26;21;3934.5334
