benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mapl3_resubl2_crz_map_mig_resub;1020;384;255;129;0.06700865
bar;mapl3_resubl2_crz_map_mig_resub;3336;2584;12;13;0.5350735
div;mapl3_resubl2_crz_map_mig_resub;57247;35827;4372;2244;10.892826
hyp;mapl3_resubl2_crz_map_mig_resub;214335;123879;24801;8883;34.08518
log2;mapl3_resubl2_crz_map_mig_resub;32060;24154;444;206;8.225164
max;mapl3_resubl2_crz_map_mig_resub;2865;2244;287;172;0.9906807
multiplier;mapl3_resubl2_crz_map_mig_resub;27062;19186;274;149;5.548336
sin;mapl3_resubl2_crz_map_mig_resub;5416;4149;225;124;5.4466915
sqrt;mapl3_resubl2_crz_map_mig_resub;24618;13253;5058;2410;5.8750687
square;mapl3_resubl2_crz_map_mig_resub;18484;9199;250;126;2.8609838
arbiter;mapl3_resubl2_crz_map_mig_resub;11839;6864;87;61;4.3515964
cavlc;mapl3_resubl2_crz_map_mig_resub;693;531;16;14;12.1646185
ctrl;mapl3_resubl2_crz_map_mig_resub;174;75;10;9;0.25309348
dec;mapl3_resubl2_crz_map_mig_resub;304;304;3;3;0.054781176
i2c;mapl3_resubl2_crz_map_mig_resub;1342;1125;20;12;0.28774828
int2float;mapl3_resubl2_crz_map_mig_resub;260;196;16;10;0.1681786
mem_ctrl;mapl3_resubl2_crz_map_mig_resub;46836;39118;114;97;14.089995
priority;mapl3_resubl2_crz_map_mig_resub;978;451;250;122;0.13013211
router;mapl3_resubl2_crz_map_mig_resub;257;192;54;42;0.04587146
voter;mapl3_resubl2_crz_map_mig_resub;13758;4866;70;49;1.9679774
ac97_ctrl;mapl3_resubl2_crz_map_mig_resub;14268;10646;12;9;2.2403586
aes_core;mapl3_resubl2_crz_map_mig_resub;21522;16517;26;22;1682.6788
des_area;mapl3_resubl2_crz_map_mig_resub;4857;3643;33;37;9.544783
des_perf;mapl3_resubl2_crz_map_mig_resub;82650;59730;20;30;525.5172
DMA;mapl3_resubl2_crz_map_mig_resub;24393;19380;27;23;10.378046
DSP;mapl3_resubl2_crz_map_mig_resub;45420;36911;63;54;15.480438
ethernet;mapl3_resubl2_crz_map_mig_resub;86726;65715;32;31;23.740728
iwls05_i2c;mapl3_resubl2_crz_map_mig_resub;1166;870;14;14;0.19388711
leon2;mapl3_resubl2_crz_map_mig_resub;789647;777261;58;47;302.8166
leon3_opt;mapl3_resubl2_crz_map_mig_resub;974977;953941;54;43;418.4372
leon3;mapl3_resubl2_crz_map_mig_resub;1088122;978865;59;43;414.6441
leon3mp;mapl3_resubl2_crz_map_mig_resub;652353;580065;55;45;298.46606
iwls05_mem_ctrl;mapl3_resubl2_crz_map_mig_resub;15337;12414;36;32;3.7530386
netcard;mapl3_resubl2_crz_map_mig_resub;803848;521932;40;35;238.40448
pci_bridge32;mapl3_resubl2_crz_map_mig_resub;22806;17653;30;23;12.149368
RISC;mapl3_resubl2_crz_map_mig_resub;75613;57640;40;35;16.629143
sasc;mapl3_resubl2_crz_map_mig_resub;773;559;9;9;0.0956332
simple_spi;mapl3_resubl2_crz_map_mig_resub;1053;772;12;11;0.13596201
spi;mapl3_resubl2_crz_map_mig_resub;3808;2967;32;24;2.1790316
ss_pcm;mapl3_resubl2_crz_map_mig_resub;405;318;7;6;0.04382267
systemcaes;mapl3_resubl2_crz_map_mig_resub;12384;9101;46;33;2.9602263
systemcdes;mapl3_resubl2_crz_map_mig_resub;2999;2155;27;26;5.6274214
tv80;mapl3_resubl2_crz_map_mig_resub;9647;7128;52;42;11.202456
usb_funct;mapl3_resubl2_crz_map_mig_resub;15894;12071;27;21;2.4527504
usb_phy;mapl3_resubl2_crz_map_mig_resub;460;320;10;8;0.083908215
vga_lcd;mapl3_resubl2_crz_map_mig_resub;126708;88617;24;27;38.66174
wb_conmax;mapl3_resubl2_crz_map_mig_resub;47853;41589;27;26;43.420357
c17;mapl3_resubl2_crz_map_mig_resub;6;6;3;3;0.00086867204
c432;mapl3_resubl2_crz_map_mig_resub;208;151;26;26;0.030679643
c499;mapl3_resubl2_crz_map_mig_resub;398;307;19;16;0.071485415
c880;mapl3_resubl2_crz_map_mig_resub;325;270;25;19;0.044206638
c1355;mapl3_resubl2_crz_map_mig_resub;502;298;25;16;0.086878225
c1908;mapl3_resubl2_crz_map_mig_resub;341;244;27;18;0.050132327
c2670;mapl3_resubl2_crz_map_mig_resub;716;471;20;16;0.09062306
c3540;mapl3_resubl2_crz_map_mig_resub;1024;775;41;27;0.23177303
c5315;mapl3_resubl2_crz_map_mig_resub;1776;1143;37;23;0.21098077
c6288;mapl3_resubl2_crz_map_mig_resub;2337;976;120;46;0.32063892
c7552;mapl3_resubl2_crz_map_mig_resub;1469;1125;26;23;0.25828677
