benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mapl3_resubl3;1020;384;255;129;0.05865484
bar;mapl3_resubl3;3336;2588;12;14;0.46012264
div;mapl3_resubl3;57247;36457;4372;2283;9.20348
hyp;mapl3_resubl3;214335;124005;24801;8884;29.213276
log2;mapl3_resubl3;32060;24172;444;209;6.3453827
max;mapl3_resubl3;2865;2265;287;159;0.75377643
multiplier;mapl3_resubl3;27062;19207;274;149;4.3638873
sin;mapl3_resubl3;5416;4152;225;125;4.850548
sqrt;mapl3_resubl3;24618;16643;5058;2567;4.874042
square;mapl3_resubl3;18484;9315;250;126;2.5665638
arbiter;mapl3_resubl3;11839;6868;87;60;3.2721486
cavlc;mapl3_resubl3;693;540;16;15;13.247585
ctrl;mapl3_resubl3;174;76;10;9;0.2524285
dec;mapl3_resubl3;304;304;3;3;0.042744756
i2c;mapl3_resubl3;1342;1136;20;12;0.23168273
int2float;mapl3_resubl3;260;199;16;10;0.16083993
mem_ctrl;mapl3_resubl3;46836;39348;114;98;11.469432
priority;mapl3_resubl3;978;469;250;122;0.11031098
router;mapl3_resubl3;257;197;54;43;0.035871115
voter;mapl3_resubl3;13758;5284;70;51;1.7443376
ac97_ctrl;mapl3_resubl3;14268;10663;12;10;1.7057638
aes_core;mapl3_resubl3;21522;16598;26;21;1687.9126
des_area;mapl3_resubl3;4857;3779;33;38;9.765275
des_perf;mapl3_resubl3;82650;60263;20;31;537.1803
DMA;mapl3_resubl3;24393;20939;27;24;9.043768
DSP;mapl3_resubl3;45420;37131;63;58;11.220982
ethernet;mapl3_resubl3;86726;65763;32;29;19.467
iwls05_i2c;mapl3_resubl3;1166;878;14;15;0.15323614
leon2;mapl3_resubl3;789647;777515;58;48;225.35172
leon3_opt;mapl3_resubl3;974977;954107;54;41;330.6491
leon3;mapl3_resubl3;1088122;979249;59;42;310.69986
leon3mp;mapl3_resubl3;652353;580293;55;45;242.8049
iwls05_mem_ctrl;mapl3_resubl3;15337;12683;36;31;2.80285
netcard;mapl3_resubl3;803848;522036;40;36;187.18303
pci_bridge32;mapl3_resubl3;22806;17695;30;24;11.2081995
RISC;mapl3_resubl3;75613;57896;40;34;13.527874
sasc;mapl3_resubl3;773;560;9;9;0.07501449
simple_spi;mapl3_resubl3;1053;782;12;10;0.10415501
spi;mapl3_resubl3;3808;2979;32;24;2.0604064
ss_pcm;mapl3_resubl3;405;318;7;6;0.03304349
systemcaes;mapl3_resubl3;12384;9102;46;34;2.5436106
systemcdes;mapl3_resubl3;2999;2163;27;30;5.919365
tv80;mapl3_resubl3;9647;7207;52;44;14.523312
usb_funct;mapl3_resubl3;15894;12154;27;21;1.9092788
usb_phy;mapl3_resubl3;460;323;10;8;0.07105188
vga_lcd;mapl3_resubl3;126708;88641;24;27;31.177755
wb_conmax;mapl3_resubl3;47853;41852;27;27;38.86333
c17;mapl3_resubl3;6;6;3;3;0.00062514696
c432;mapl3_resubl3;208;152;26;28;0.023232449
c499;mapl3_resubl3;398;307;19;16;0.054195866
c880;mapl3_resubl3;325;271;25;18;0.032449484
c1355;mapl3_resubl3;502;298;25;16;0.07214375
c1908;mapl3_resubl3;341;245;27;18;0.03874117
c2670;mapl3_resubl3;716;474;20;17;0.07070076
c3540;mapl3_resubl3;1024;778;41;28;0.1812464
c5315;mapl3_resubl3;1776;1147;37;23;0.16695844
c6288;mapl3_resubl3;2337;976;120;46;0.29062805
c7552;mapl3_resubl3;1469;1132;26;21;0.19721934
