benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mapl3_resubl3_crz_map;1020;384;255;129;0.06659683
bar;mapl3_resubl3_crz_map;3336;2584;12;13;0.5493538
div;mapl3_resubl3_crz_map;57247;35890;4372;2232;10.980505
hyp;mapl3_resubl3_crz_map;214335;124063;24801;8883;34.355587
log2;mapl3_resubl3_crz_map;32060;24187;444;205;8.267125
max;mapl3_resubl3_crz_map;2865;2245;287;172;0.9990498
multiplier;mapl3_resubl3_crz_map;27062;19206;274;149;5.530897
sin;mapl3_resubl3_crz_map;5416;4156;225;124;5.138621
sqrt;mapl3_resubl3_crz_map;24618;13283;5058;2414;6.0365477
square;mapl3_resubl3_crz_map;18484;9302;250;126;2.9121008
arbiter;mapl3_resubl3_crz_map;11839;6866;87;61;4.3857183
cavlc;mapl3_resubl3_crz_map;693;540;16;14;13.306179
ctrl;mapl3_resubl3_crz_map;174;76;10;9;0.25771216
dec;mapl3_resubl3_crz_map;304;304;3;3;0.05423456
i2c;mapl3_resubl3_crz_map;1342;1132;20;12;0.28985998
int2float;mapl3_resubl3_crz_map;260;198;16;10;0.16938129
mem_ctrl;mapl3_resubl3_crz_map;46836;39315;114;97;14.229943
priority;mapl3_resubl3_crz_map;978;468;250;122;0.13011162
router;mapl3_resubl3_crz_map;257;192;54;42;0.046362102
voter;mapl3_resubl3_crz_map;13758;4999;70;50;2.0195296
ac97_ctrl;mapl3_resubl3_crz_map;14268;10660;12;9;2.311262
aes_core;mapl3_resubl3_crz_map;21522;16615;26;22;1689.1968
des_area;mapl3_resubl3_crz_map;4857;3783;33;38;9.960066
des_perf;mapl3_resubl3_crz_map;82650;60406;20;30;538.6621
DMA;mapl3_resubl3_crz_map;24393;20936;27;23;10.562052
DSP;mapl3_resubl3_crz_map;45420;37077;63;54;13.916697
ethernet;mapl3_resubl3_crz_map;86726;65746;32;29;23.928616
iwls05_i2c;mapl3_resubl3_crz_map;1166;875;14;14;0.19489887
leon2;mapl3_resubl3_crz_map;789647;777389;58;47;306.9351
leon3_opt;mapl3_resubl3_crz_map;974977;955049;54;43;427.49823
leon3;mapl3_resubl3_crz_map;1088122;979058;59;43;418.5991
leon3mp;mapl3_resubl3_crz_map;652353;580191;55;45;303.12286
iwls05_mem_ctrl;mapl3_resubl3_crz_map;15337;12624;36;32;3.7826486
netcard;mapl3_resubl3_crz_map;803848;521998;40;35;239.23859
pci_bridge32;mapl3_resubl3_crz_map;22806;17679;30;23;12.214714
RISC;mapl3_resubl3_crz_map;75613;57794;40;35;16.74558
sasc;mapl3_resubl3_crz_map;773;560;9;9;0.09685891
simple_spi;mapl3_resubl3_crz_map;1053;777;12;10;0.13653643
spi;mapl3_resubl3_crz_map;3808;2977;32;22;2.1916745
ss_pcm;mapl3_resubl3_crz_map;405;318;7;6;0.043269493
systemcaes;mapl3_resubl3_crz_map;12384;9101;46;33;2.9706364
systemcdes;mapl3_resubl3_crz_map;2999;2168;27;25;6.035786
tv80;mapl3_resubl3_crz_map;9647;7185;52;42;14.981727
usb_funct;mapl3_resubl3_crz_map;15894;12136;27;21;2.4294763
usb_phy;mapl3_resubl3_crz_map;460;322;10;8;0.08379795
vga_lcd;mapl3_resubl3_crz_map;126708;88639;24;27;39.280193
wb_conmax;mapl3_resubl3_crz_map;47853;41827;27;26;42.294792
c17;mapl3_resubl3_crz_map;6;6;3;3;0.000843614
c432;mapl3_resubl3_crz_map;208;152;26;26;0.031048808
c499;mapl3_resubl3_crz_map;398;307;19;16;0.07149196
c880;mapl3_resubl3_crz_map;325;272;25;19;0.04401176
c1355;mapl3_resubl3_crz_map;502;298;25;16;0.08581175
c1908;mapl3_resubl3_crz_map;341;244;27;18;0.04910968
c2670;mapl3_resubl3_crz_map;716;473;20;16;0.09021901
c3540;mapl3_resubl3_crz_map;1024;779;41;26;0.22648302
c5315;mapl3_resubl3_crz_map;1776;1145;37;23;0.21252954
c6288;mapl3_resubl3_crz_map;2337;976;120;46;0.32370725
c7552;mapl3_resubl3_crz_map;1469;1130;26;22;0.2595248
