benchmark;flow;size;size_mig;depth;depth_mig;runtime
dec;ref_main4;304;304;3;3;0.059766773
c17;ref_main4;6;5;3;3;0.001967404
adder;ref_main4;1020;384;255;129;0.17061439
c499;ref_main4;398;316;19;16;0.2294851
c432;ref_main4;208;165;26;26;0.1077593
ss_pcm;ref_main4;405;319;7;6;0.19221963
c1355;ref_main4;502;316;25;16;0.3069807
c1908;ref_main4;341;244;27;18;0.17803867
c6288;ref_main4;2337;976;120;46;1.006186
c880;ref_main4;325;271;25;18;0.2143132
sasc;ref_main4;773;560;9;9;0.44777688
c2670;ref_main4;716;472;20;16;0.5052966
ctrl;ref_main4;174;73;10;13;0.8525694
c3540;ref_main4;1024;775;41;27;1.2618357
router;ref_main4;257;190;54;42;0.3641353
usb_phy;ref_main4;460;320;10;8;0.52662355
int2float;ref_main4;260;197;16;10;0.7218343
simple_spi;ref_main4;1053;771;12;11;0.97321373
priority;ref_main4;978;542;250;117;1.1475638
c7552;ref_main4;1469;1117;26;26;1.6333731
c5315;ref_main4;1776;1129;37;23;1.4939089
iwls05_i2c;ref_main4;1166;865;14;15;1.6795895
i2c;ref_main4;1342;1121;20;12;2.2104924
max;ref_main4;2865;2168;287;162;5.5660005
bar;ref_main4;3336;2496;12;14;4.363633
spi;ref_main4;3808;2950;32;21;7.40492
voter;ref_main4;13758;4253;70;48;10.071267
systemcaes;ref_main4;12384;9101;46;32;13.8065405
arbiter;ref_main4;11839;4513;87;21;15.213111
ac97_ctrl;ref_main4;14268;10672;12;13;14.297773
sin;ref_main4;5416;4149;225;123;18.449516
systemcdes;ref_main4;2999;2166;27;27;17.837965
square;ref_main4;18484;9149;250;126;15.063279
cavlc;ref_main4;693;524;16;13;21.239964
usb_funct;ref_main4;15894;12028;27;21;22.327759
multiplier;ref_main4;27062;19150;274;149;30.284834
des_area;ref_main4;4857;3834;33;37;38.639183
log2;ref_main4;32060;24119;444;210;47.286636
iwls05_mem_ctrl;ref_main4;15337;12048;36;29;38.611454
DMA;ref_main4;24393;20896;27;24;45.258316
tv80;ref_main4;9647;7085;52;41;50.61229
pci_bridge32;ref_main4;22806;17639;30;24;58.604076
DSP;ref_main4;45420;36870;63;54;73.12938
RISC;ref_main4;75613;57690;40;38;82.230225
div;ref_main4;57247;35225;4372;2201;91.7778
ethernet;ref_main4;86726;65684;32;29;107.77212
sqrt;ref_main4;24618;12974;5058;2299;102.9748
mem_ctrl;ref_main4;46836;38867;114;97;113.53466
vga_lcd;ref_main4;126708;88624;24;27;143.64052
wb_conmax;ref_main4;47853;41555;27;26;243.96922
hyp;ref_main4;214335;124005;24801;8884;573.1896
des_perf;ref_main4;82650;60188;20;31;1142.9645
netcard;ref_main4;803848;521915;40;36;2652.9785
leon3mp;ref_main4;652353;579920;55;46;2530.5723
leon2;ref_main4;789647;777130;58;50;2247.1682
aes_core;ref_main4;21522;16592;26;22;3696.8975
leon3;ref_main4;1088122;978758;59;43;2544.5198
leon3_opt;ref_main4;974977;954105;54;41;9806.701
