benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;main5;1020;384;255;129;1.1699711
adder;main4;1020;384;255;129;1.5661213
adder;main3;1020;384;255;129;0.9710586
adder;main2;1020;384;255;129;1.8446174
adder;main;1020;384;255;129;1.8120831
bar;main5;3336;2496;12;14;32.7853
bar;main3;3336;2588;12;13;23.939514
bar;main4;3336;2588;12;13;35.470154
bar;main2;3336;2588;12;13;42.548748
bar;main;3336;2496;12;14;53.212147
div;main3;57247;36875;4372;2238;202.0263
div;main4;57247;36875;4372;2238;274.70657
hyp;main3;214335;137054;24801;8885;773.4529
div;main2;57247;36875;4372;2238;979.44727
div;main;57247;35225;4372;2201;986.1563
log2;main3;32060;24295;444;206;220.6718
max;main3;2865;2171;287;162;37.9338
hyp;main4;214335;137054;24801;8885;1073.6926
multiplier;main3;27062;19299;274;142;147.89413
sin;main3;5416;4196;225;122;47.088516
log2;main4;32060;24295;444;206;261.40118
max;main4;2865;2171;287;162;40.776768
multiplier;main4;27062;19299;274;142;188.73978
sin;main4;5416;4196;225;122;54.76917
hyp;main;214335;124005;24801;8884;1159.3279
div;main5;57247;35225;4372;2201;2417.5942
sqrt;main3;24618;17355;5058;3846;935.09534
log2;main;32060;24119;444;210;278.0256
max;main;2865;2168;287;162;30.11256
square;main3;18484;11924;250;126;92.85457
arbiter;main3;11839;6996;87;59;120.29173
cavlc;main3;693;623;16;13;6.2193823
ctrl;main3;174;114;10;5;0.8143795
dec;main3;304;304;3;3;0.26942292
i2c;main3;1342;1217;20;12;8.869436
int2float;main3;260;223;16;10;1.6902336
multiplier;main;27062;19150;274;149;288.2097
sqrt;main4;24618;17355;5058;3846;954.1116
square;main4;18484;11924;250;126;118.85575
arbiter;main4;11839;6996;87;59;152.87924
cavlc;main4;693;623;16;13;7.559952
ctrl;main4;174;114;10;5;0.9474335
dec;main4;304;304;3;3;0.20799816
i2c;main4;1342;1217;20;12;10.02465
int2float;main4;260;223;16;10;1.6380157
mem_ctrl;main3;46836;41267;114;94;504.52786
priority;main3;978;808;250;117;7.7415
router;main3;257;207;54;43;1.6106858
voter;main3;13758;5802;70;49;57.523476
sin;main;5416;4149;225;123;583.7193
mem_ctrl;main4;46836;41267;114;94;392.7272
priority;main4;978;808;250;117;5.1084967
router;main4;257;207;54;43;1.1731226
voter;main4;13758;5802;70;49;51.93344
sqrt;main;24618;12974;5058;2299;734.46814
square;main;18484;9149;250;126;124.9799
arbiter;main;11839;6866;87;60;102.92284
cavlc;main;693;524;16;13;680.59515
ctrl;main;174;73;10;13;18.178875
dec;main;304;304;3;3;0.35830796
i2c;main;1342;1121;20;12;22.153292
int2float;main;260;197;16;10;11.000704
mem_ctrl;main;46836;38867;114;97;1396.419
priority;main;978;542;250;117;10.649843
router;main;257;190;54;42;2.6214252
voter;main;13758;4253;70;48;88.79692
hyp;main2;214335;137054;24801;8885;7440.382
log2;main2;32060;24295;444;206;321.04248
max;main2;2865;2171;287;162;34.18361
multiplier;main2;27062;19299;274;142;205.44803
sin;main2;5416;4196;225;122;33.4431
sqrt;main2;24618;17355;5058;3846;731.61536
square;main2;18484;11924;250;126;61.222588
arbiter;main2;11839;5840;87;19;106.28323
cavlc;main2;693;623;16;13;3.572893
ctrl;main2;174;114;10;5;0.43581152
dec;main2;304;304;3;3;0.1965906
i2c;main2;1342;1217;20;12;5.89919
int2float;main2;260;223;16;10;0.98505044
mem_ctrl;main2;46836;41267;114;94;420.48492
priority;main2;978;808;250;117;5.071982
router;main2;257;207;54;43;1.0931289
voter;main2;13758;5802;70;49;38.923683
hyp;main5;214335;124005;24801;8884;9669.944
log2;main5;32060;24119;444;210;525.06354
max;main5;2865;2168;287;162;35.029003
multiplier;main5;27062;19150;274;149;330.64215
sin;main5;5416;4149;225;123;356.7945
sqrt;main5;24618;12974;5058;2299;1070.5798
square;main5;18484;9149;250;126;111.233444
arbiter;main5;11839;4513;87;21;116.45739
cavlc;main5;693;524;16;13;608.01495
ctrl;main5;174;73;10;13;13.417808
dec;main5;304;304;3;3;0.26593953
i2c;main5;1342;1121;20;12;17.303482
int2float;main5;260;197;16;10;10.585697
mem_ctrl;main5;46836;38867;114;97;1454.382
priority;main5;978;542;250;117;8.258958
router;main5;257;190;54;42;2.0078685
voter;main5;13758;4253;70;48;69.01162
adder;cr_mapper;1020;384;255;129;2.1001105
adder;mig_resub_map;1020;384;255;129;0.8300156
adder;cr_basic;1020;1020;255;255;1.3819041
bar;cr_basic;3336;3336;12;12;7.656131
bar;cr_mapper;3336;2588;12;13;27.959606
bar;mig_resub_map;3336;2496;12;14;27.23421
div;cr_basic;57247;57247;4372;4372;158.61615
div;cr_mapper;57247;36875;4372;2238;323.7495
