benchmark;flow;op_num;op_type;size;depth;runtime
adder;mig_map+resub+algb2;0;0;1020;255;0.0
adder;mig_map+resub+algb2;1;0;1020;255;0.0
adder;mig_map+resub+algb2;2;3;384;129;0.0
adder;mig_map+resub+algb2;3;1;384;129;0.0
bar;mig_map+resub+algb2;0;0;3336;12;0.0
bar;mig_map+resub+algb2;1;0;3336;12;0.0
bar;mig_map+resub+algb2;2;3;2496;14;0.0
bar;mig_map+resub+algb2;3;1;2496;14;0.0
div;mig_map+resub+algb2;0;0;57247;4372;0.0
div;mig_map+resub+algb2;1;0;57247;4372;0.0
div;mig_map+resub+algb2;2;3;35221;2201;0.0
div;mig_map+resub+algb2;3;1;35221;2201;0.0
hyp;mig_map+resub+algb2;0;0;214335;24801;0.0
hyp;mig_map+resub+algb2;1;0;214335;24801;0.0
hyp;mig_map+resub+algb2;2;3;124005;8884;0.0
hyp;mig_map+resub+algb2;3;1;124005;8884;0.0
log2;mig_map+resub+algb2;0;0;32060;444;0.0
log2;mig_map+resub+algb2;1;0;32060;444;0.0
log2;mig_map+resub+algb2;2;3;24119;210;0.0
log2;mig_map+resub+algb2;3;1;24119;210;0.0
max;mig_map+resub+algb2;0;0;2865;287;0.0
max;mig_map+resub+algb2;1;0;2865;287;0.0
max;mig_map+resub+algb2;2;3;2168;162;0.0
max;mig_map+resub+algb2;3;1;2168;162;0.0
multiplier;mig_map+resub+algb2;0;0;27062;274;0.0
multiplier;mig_map+resub+algb2;1;0;27062;274;0.0
multiplier;mig_map+resub+algb2;2;3;19150;149;0.0
multiplier;mig_map+resub+algb2;3;1;19150;149;0.0
sin;mig_map+resub+algb2;0;0;5416;225;0.0
sin;mig_map+resub+algb2;1;0;5416;225;0.0
sin;mig_map+resub+algb2;2;3;4149;123;0.0
sin;mig_map+resub+algb2;3;1;4149;123;0.0
sqrt;mig_map+resub+algb2;0;0;24618;5058;0.0
sqrt;mig_map+resub+algb2;1;0;24618;5058;0.0
sqrt;mig_map+resub+algb2;2;3;12964;2297;0.0
sqrt;mig_map+resub+algb2;3;1;12964;2297;0.0
square;mig_map+resub+algb2;0;0;18484;250;0.0
square;mig_map+resub+algb2;1;0;18484;250;0.0
square;mig_map+resub+algb2;2;3;9150;126;0.0
square;mig_map+resub+algb2;3;1;9150;126;0.0
arbiter;mig_map+resub+algb2;0;0;11839;87;0.0
arbiter;mig_map+resub+algb2;1;0;11839;87;0.0
arbiter;mig_map+resub+algb2;2;3;4513;21;0.0
arbiter;mig_map+resub+algb2;3;1;4513;21;0.0
cavlc;mig_map+resub+algb2;0;0;693;16;0.0
cavlc;mig_map+resub+algb2;1;0;693;16;0.0
cavlc;mig_map+resub+algb2;2;3;529;13;0.0
cavlc;mig_map+resub+algb2;3;1;529;13;0.0
ctrl;mig_map+resub+algb2;0;0;174;10;0.0
ctrl;mig_map+resub+algb2;1;0;174;10;0.0
ctrl;mig_map+resub+algb2;2;3;75;9;0.0
ctrl;mig_map+resub+algb2;3;1;75;9;0.0
dec;mig_map+resub+algb2;0;0;304;3;0.0
dec;mig_map+resub+algb2;1;0;304;3;0.0
dec;mig_map+resub+algb2;2;3;304;3;0.0
dec;mig_map+resub+algb2;3;1;304;3;0.0
i2c;mig_map+resub+algb2;0;0;1342;20;0.0
i2c;mig_map+resub+algb2;1;0;1342;20;0.0
i2c;mig_map+resub+algb2;2;3;1121;12;0.0
i2c;mig_map+resub+algb2;3;1;1121;12;0.0
int2float;mig_map+resub+algb2;0;0;260;16;0.0
int2float;mig_map+resub+algb2;1;0;260;16;0.0
int2float;mig_map+resub+algb2;2;3;197;10;0.0
int2float;mig_map+resub+algb2;3;1;197;10;0.0
mem_ctrl;mig_map+resub+algb2;0;0;46836;114;0.0
mem_ctrl;mig_map+resub+algb2;1;0;46836;114;0.0
mem_ctrl;mig_map+resub+algb2;2;3;38911;97;0.0
mem_ctrl;mig_map+resub+algb2;3;1;38911;97;0.0
priority;mig_map+resub+algb2;0;0;978;250;0.0
priority;mig_map+resub+algb2;1;0;978;250;0.0
priority;mig_map+resub+algb2;2;3;542;117;0.0
priority;mig_map+resub+algb2;3;1;542;117;0.0
router;mig_map+resub+algb2;0;0;257;54;0.0
router;mig_map+resub+algb2;1;0;257;54;0.0
router;mig_map+resub+algb2;2;3;190;42;0.0
router;mig_map+resub+algb2;3;1;190;42;0.0
voter;mig_map+resub+algb2;0;0;13758;70;0.0
voter;mig_map+resub+algb2;1;0;13758;70;0.0
voter;mig_map+resub+algb2;2;3;4266;48;0.0
voter;mig_map+resub+algb2;3;1;4266;48;0.0
