benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;cr_basic;1020;1020;255;255;0.113955975
bar;cr_basic;3336;3336;12;12;0.3625613
div;cr_basic;57247;57247;4372;4372;9.287686
hyp;cr_basic;214335;214335;24801;24801;32.54441
log2;cr_basic;32060;32060;444;444;5.767495
max;cr_basic;2865;2865;287;287;0.30988312
multiplier;cr_basic;27062;27062;274;274;3.8941207
sin;cr_basic;5416;5416;225;225;1.014774
sqrt;cr_basic;24618;24618;5058;5058;4.561715
square;cr_basic;18484;18484;250;250;2.7948337
arbiter;cr_basic;11839;11839;87;87;2.7604938
cavlc;cr_basic;693;693;16;16;0.0651418
ctrl;cr_basic;174;174;10;10;0.01751887
dec;cr_basic;304;304;3;3;0.0048465896
i2c;cr_basic;1342;1342;20;20;0.1233974
int2float;cr_basic;260;260;16;16;0.021696901
mem_ctrl;cr_basic;46836;46836;114;114;6.122973
priority;cr_basic;978;978;250;250;0.11094209
router;cr_basic;257;257;54;54;0.034898557
voter;cr_basic;13758;13758;70;70;1.881628
