benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;cr_mapper;1020;384;255;129;0.16599101
bar;cr_mapper;3336;2588;12;13;2.3066924
div;cr_mapper;57247;36875;4372;2238;25.061693
hyp;cr_mapper;214335;137054;24801;8885;72.0679
log2;cr_mapper;32060;24295;444;206;13.471693
max;cr_mapper;2865;2171;287;162;2.0796213
multiplier;cr_mapper;27062;19299;274;142;9.561472
sin;cr_mapper;5416;4196;225;122;2.8917444
sqrt;cr_mapper;24618;17355;5058;3846;60.398636
square;cr_mapper;18484;11924;250;126;6.5634804
arbiter;cr_mapper;11839;6996;87;59;6.65976
cavlc;cr_mapper;693;623;16;13;0.262567
ctrl;cr_mapper;174;114;10;5;0.0385618
dec;cr_mapper;304;304;3;3;0.01667399
i2c;cr_mapper;1342;1217;20;12;0.4116274
int2float;cr_mapper;260;223;16;10;0.06797232
mem_ctrl;cr_mapper;46836;41267;114;94;30.364166
priority;cr_mapper;978;808;250;117;0.4245288
router;cr_mapper;257;207;54;43;0.085262634
voter;cr_mapper;13758;5802;70;49;4.8752565
