benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;main;1020;384;255;129;0.08978215
bar;main;3336;2496;12;14;2.3874562
div;main;57247;35225;4372;2201;42.2491
hyp;main;214335;124005;24801;8884;70.12002
log2;main;32060;24119;444;210;18.539148
max;main;2865;2168;287;162;2.5479627
multiplier;main;27062;19150;274;149;12.0633955
sin;main;5416;4149;225;123;11.520055
sqrt;main;24618;12974;5058;2299;67.1572
square;main;18484;9149;250;126;8.821852
arbiter;main;11839;6866;87;60;7.3348193
cavlc;main;693;524;16;13;15.682946
ctrl;main;174;73;10;13;0.38028008
dec;main;304;304;3;3;0.026304044
i2c;main;1342;1121;20;12;0.97426164
int2float;main;260;197;16;10;0.33244157
mem_ctrl;main;46836;38867;114;97;90.370186
priority;main;978;542;250;117;0.6071873
router;main;257;190;54;42;0.13445437
voter;main;13758;4253;70;48;6.0220704
