benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;main2;1020;384;255;129;0.08682337
bar;main2;3336;2588;12;13;2.225644
div;main2;57247;36875;4372;2238;38.580856
hyp;main2;214335;137054;24801;8885;421.26642
log2;main2;32060;24295;444;206;25.275818
max;main2;2865;2171;287;162;2.8521554
multiplier;main2;27062;19299;274;142;14.805679
sin;main2;5416;4196;225;122;2.890916
sqrt;main2;24618;17355;5058;3846;68.79688
square;main2;18484;11924;250;126;5.4382315
arbiter;main2;11839;5840;87;19;8.051918
cavlc;main2;693;623;16;13;0.29481745
ctrl;main2;174;114;10;5;0.035168633
dec;main2;304;304;3;3;0.021509822
i2c;main2;1342;1217;20;12;0.4532064
int2float;main2;260;223;16;10;0.077226475
mem_ctrl;main2;46836;41267;114;94;39.417824
priority;main2;978;808;250;117;0.4325694
router;main2;257;207;54;43;0.08581293
voter;main2;13758;5802;70;49;3.730199
