benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mig_map+resub+algb;1020;384;255;129;0.068564706
bar;mig_map+resub+algb;3336;2496;12;14;2.0682824
div;mig_map+resub+algb;57247;35221;4372;2201;62.39865
hyp;mig_map+resub+algb;214335;124005;24801;8884;358.3352
log2;mig_map+resub+algb;32060;24119;444;210;21.779125
max;mig_map+resub+algb;2865;2168;287;162;2.0980008
multiplier;mig_map+resub+algb;27062;19150;274;149;12.699854
sin;mig_map+resub+algb;5416;4149;225;123;8.980135
sqrt;mig_map+resub+algb;24618;12964;5058;2297;71.451965
square;mig_map+resub+algb;18484;9150;250;126;5.1263056
arbiter;mig_map+resub+algb;11839;4513;87;21;4.8194304
cavlc;mig_map+resub+algb;693;529;16;13;17.964651
ctrl;mig_map+resub+algb;174;75;10;9;0.4309341
dec;mig_map+resub+algb;304;304;3;3;0.016821755
i2c;mig_map+resub+algb;1342;1121;20;12;0.5853696
int2float;mig_map+resub+algb;260;197;16;10;0.2757032
mem_ctrl;mig_map+resub+algb;46836;38911;114;97;68.35959
priority;mig_map+resub+algb;978;542;250;117;0.31404355
router;mig_map+resub+algb;257;190;54;42;0.08337295
voter;mig_map+resub+algb;13758;4266;70;48;3.4699857
