benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mig_resub;1020;888;255;253;0.12519121
bar;mig_resub;3336;2888;12;14;0.4174022
div;mig_resub;57247;42207;4372;3195;11.823628
hyp;mig_resub;214335;187170;24801;9499;45.00357
log2;mig_resub;32060;29978;444;450;7.2116427
max;mig_resub;2865;2838;287;287;0.39396507
multiplier;mig_resub;27062;25339;274;274;5.407316
sin;mig_resub;5416;5075;225;221;16.788692
sqrt;mig_resub;24618;18453;5058;5293;3.2304697
square;mig_resub;18484;16950;250;241;3.541962
arbiter;mig_resub;11839;11711;87;87;2.6934824
cavlc;mig_resub;693;575;16;18;8.95633
ctrl;mig_resub;174;74;10;11;0.18329638
dec;mig_resub;304;304;3;3;0.0074300207
i2c;mig_resub;1342;1213;20;20;0.22239144
int2float;mig_resub;260;214;16;16;0.20094024
mem_ctrl;mig_resub;46836;42170;114;115;11.143559
priority;mig_resub;978;468;250;126;0.09325549
router;mig_resub;257;246;54;54;0.04075502
voter;mig_resub;13758;8083;70;80;1.5663816
