benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mig_resub_map;1020;384;255;129;0.06567934
bar;mig_resub_map;3336;2496;12;14;2.021279
div;mig_resub_map;57247;35221;4372;2201;28.937351
hyp;mig_resub_map;214335;124005;24801;8884;41.593876
log2;mig_resub_map;32060;24119;444;210;9.1255455
max;mig_resub_map;2865;2168;287;162;1.8208481
multiplier;mig_resub_map;27062;19150;274;149;6.5518355
sin;mig_resub_map;5416;4149;225;123;8.466855
sqrt;mig_resub_map;24618;12964;5058;2297;58.04524
square;mig_resub_map;18484;9150;250;126;5.225331
arbiter;mig_resub_map;11839;6866;87;60;4.2771616
cavlc;mig_resub_map;693;529;16;13;18.39634
ctrl;mig_resub_map;174;75;10;9;0.44583443
dec;mig_resub_map;304;304;3;3;0.01672803
i2c;mig_resub_map;1342;1121;20;12;0.6049043
int2float;mig_resub_map;260;197;16;10;0.27804154
mem_ctrl;mig_resub_map;46836;38911;114;97;58.29304
priority;mig_resub_map;978;542;250;117;0.31780243
router;mig_resub_map;257;190;54;42;0.08187768
voter;mig_resub_map;13758;4266;70;48;3.454996
