benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mig_resub_map2;1020;384;255;129;0.06559355
bar;mig_resub_map2;3336;2496;12;14;2.0191715
div;mig_resub_map2;57247;35221;4372;2201;28.586191
hyp;mig_resub_map2;214335;124005;24801;8884;41.08917
log2;mig_resub_map2;32060;24119;444;210;9.028436
max;mig_resub_map2;2865;2168;287;162;1.7896537
multiplier;mig_resub_map2;27062;19150;274;149;6.467445
sin;mig_resub_map2;5416;4149;225;123;8.440027
sqrt;mig_resub_map2;24618;12964;5058;2297;56.926018
square;mig_resub_map2;18484;9150;250;126;5.0432634
arbiter;mig_resub_map2;11839;6866;87;60;4.180351
cavlc;mig_resub_map2;693;529;16;13;35.66553
ctrl;mig_resub_map2;174;75;10;9;0.44777238
dec;mig_resub_map2;304;304;3;3;0.016714685
i2c;mig_resub_map2;1342;1121;20;12;0.5947445
int2float;mig_resub_map2;260;197;16;10;0.27718744
mem_ctrl;mig_resub_map2;46836;38907;114;97;55.67591
priority;mig_resub_map2;978;542;250;117;0.31942153
router;mig_resub_map2;257;190;54;42;0.08178092
voter;mig_resub_map2;13758;4266;70;48;3.3476267
