benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;mig_resub_map_ext;1020;384;255;129;0.1822467
bar;mig_resub_map_ext;3336;2479;12;14;2.4372988
div;mig_resub_map_ext;57247;40601;4372;2433;24.339025
hyp;mig_resub_map_ext;214335;124026;24801;8861;99.09053
log2;mig_resub_map_ext;32060;24798;444;219;22.884163
max;mig_resub_map_ext;2865;2231;287;159;2.3097467
multiplier;mig_resub_map_ext;27062;20038;274;161;17.362991
sin;mig_resub_map_ext;5416;4171;225;126;26.985683
sqrt;mig_resub_map_ext;24618;12689;5058;2251;31.206463
square;mig_resub_map_ext;18484;9404;250;127;8.15307
arbiter;mig_resub_map_ext;11839;6866;87;60;8.166144
cavlc;mig_resub_map_ext;693;532;16;13;18.541563
ctrl;mig_resub_map_ext;174;74;10;11;0.18896127
dec;mig_resub_map_ext;304;304;3;3;0.016673964
i2c;mig_resub_map_ext;1342;1086;20;12;0.7085247
int2float;mig_resub_map_ext;260;186;16;10;0.2993833
mem_ctrl;mig_resub_map_ext;46836;38928;114;99;34.14558
priority;mig_resub_map_ext;978;468;250;126;0.14362036
router;mig_resub_map_ext;257;190;54;42;0.13934915
voter;mig_resub_map_ext;13758;4917;70;46;6.222553
