benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_l_3;1020;384;255;129;0.6524625
adder;map_l_3;1020;384;255;129;0.6591359
adder;map_l_1;1020;384;255;129;0.5784551
adder;map_l_5;1020;384;255;129;0.7826975
adder;map|map|map|resub|cr-z|map|map;1020;384;255;129;0.81513983
bar;map|map|map|resub|cr-z|map|map;3336;2580;12;13;7.799851
adder;ref_main5;1020;384;255;129;1.7790298
bar;map_l_1;3336;2588;12;13;17.712437
bar;map_l_3;3336;2588;12;13;21.355253
bar;map_l_5;3336;2588;12;13;19.955805
bar;ref_main5;3336;2496;12;14;38.208355
div;map|map|map|resub|cr-z|map|map;57247;35860;4372;2204;138.45107
div;map_l_1;57247;36875;4372;2238;157.2289
div;map_l_3;57247;36875;4372;2238;168.12013
div;map_l_5;57247;36875;4372;2238;181.57518
hyp;map_l_1;214335;137054;24801;8885;333.59927
hyp;map_l_3;214335;137054;24801;8885;367.72107
hyp;map|map|map|resub|cr-z|map|map;214335;127293;24801;8883;457.1567
log2;map_l_1;32060;24295;444;206;75.754234
max;map_l_1;2865;2171;287;162;23.79398
log2;map|map|map|resub|cr-z|map|map;32060;24197;444;207;102.20287
log2;map_l_3;32060;24295;444;206;108.45567
multiplier;map_l_1;27062;19299;274;142;61.69531
max;map|map|map|resub|cr-z|map|map;2865;2221;287;160;19.544807
max;map_l_3;2865;2171;287;162;19.127716
sin;map_l_1;5416;4196;225;122;20.256319
hyp;map_l_5;214335;137054;24801;8885;565.9713
multiplier;map|map|map|resub|cr-z|map|map;27062;19210;274;149;73.87584
multiplier;map_l_3;27062;19299;274;142;76.71218
sin;map_l_3;5416;4196;225;122;28.788956
sin;map|map|map|resub|cr-z|map|map;5416;4155;225;124;75.05394
log2;map_l_5;32060;24295;444;206;113.4396
max;map_l_5;2865;2171;287;162;34.78262
sqrt;map|map|map|resub|cr-z|map|map;24618;13162;5058;2366;126.37466
adder;map|resub|map_l|cr-z|map_l;1020;384;255;129;1.3390815
square;map|map|map|resub|cr-z|map|map;18484;9434;250;128;60.491875
multiplier;map_l_5;27062;19299;274;142;104.507935
bar;map|resub|map_l|cr-z|map_l;3336;2480;12;13;40.087337
sin;map_l_5;5416;4196;225;122;34.98915
arbiter;map|map|map|resub|cr-z|map|map;11839;6866;87;60;96.09191
sqrt;map_l_3;24618;17355;5058;3846;561.29706
div;map|resub|map_l|cr-z|map_l;57247;40023;4372;2507;382.5443
sqrt;map_l_1;24618;17355;5058;3846;699.88947
cavlc;map|map|map|resub|cr-z|map|map;693;553;16;14;414.03064
ctrl;map|map|map|resub|cr-z|map|map;174;79;10;8;9.332777
square;map_l_3;18484;11924;250;126;50.56014
dec;map|map|map|resub|cr-z|map|map;304;304;3;3;0.95532036
i2c;map|map|map|resub|cr-z|map|map;1342;1131;20;12;9.389209
square;map_l_1;18484;11924;250;126;51.85122
int2float;map|map|map|resub|cr-z|map|map;260;198;16;10;5.3566523
arbiter;map_l_3;11839;6996;87;59;74.37108
arbiter;map_l_1;11839;6996;87;59;51.412468
cavlc;map_l_3;693;623;16;13;3.733053
cavlc;map_l_1;693;623;16;13;2.7428005
ctrl;map_l_3;174;114;10;5;0.38507932
ctrl;map_l_1;174;114;10;5;0.3229628
dec;map_l_1;304;304;3;3;0.3750462
dec;map_l_3;304;304;3;3;0.75847566
i2c;map_l_1;1342;1217;20;12;4.651082
i2c;map_l_3;1342;1217;20;12;5.7646503
int2float;map_l_1;260;223;16;10;0.66661793
int2float;map_l_3;260;223;16;10;0.86481696
div;ref_main5;57247;35225;4372;2201;1821.5856
sqrt;map_l_5;24618;17355;5058;3846;567.46826
square;map_l_5;18484;11924;250;126;71.44637
mem_ctrl;map|map|map|resub|cr-z|map|map;46836;39464;114;96;354.02167
mem_ctrl;map_l_1;46836;41267;114;94;234.7567
hyp;map|resub|map_l|cr-z|map_l;214335;126606;24801;8956;424.85556
priority;map|map|map|resub|cr-z|map|map;978;599;250;117;3.3710725
router;map|map|map|resub|cr-z|map|map;257;191;54;42;1.0839827
priority;map_l_1;978;808;250;117;4.281543
router;map_l_1;257;207;54;43;0.80332744
arbiter;map_l_5;11839;6996;87;59;95.9633
voter;map|map|map|resub|cr-z|map|map;13758;5005;70;43;38.378567
cavlc;map_l_5;693;623;16;13;4.2143807
voter;map_l_1;13758;5802;70;49;33.89491
ctrl;map_l_5;174;114;10;5;0.41648284
dec;map_l_5;304;304;3;3;0.6845287
mem_ctrl;map_l_3;46836;41267;114;94;322.8099
i2c;map_l_5;1342;1217;20;12;4.6199503
priority;map_l_3;978;808;250;117;3.7611604
int2float;map_l_5;260;223;16;10;0.60060275
log2;map|resub|map_l|cr-z|map_l;32060;24125;444;210;119.212616
router;map_l_3;257;207;54;43;0.5687461
max;map|resub|map_l|cr-z|map_l;2865;2170;287;162;20.00389
voter;map_l_3;13758;5802;70;49;31.71301
multiplier;map|resub|map_l|cr-z|map_l;27062;19103;274;149;80.277954
sin;map|resub|map_l|cr-z|map_l;5416;4149;225;130;67.62321
sqrt;map|resub|map_l|cr-z|map_l;24618;13008;5058;2330;54.979057
mem_ctrl;map_l_5;46836;41267;114;94;255.33191
square;map|resub|map_l|cr-z|map_l;18484;9500;250;126;34.070187
priority;map_l_5;978;808;250;117;3.5874248
router;map_l_5;257;207;54;43;0.68442345
arbiter;map|resub|map_l|cr-z|map_l;11839;6866;87;60;42.652035
voter;map_l_5;13758;5802;70;49;28.075342
cavlc;map|resub|map_l|cr-z|map_l;693;550;16;13;120.655655
ctrl;map|resub|map_l|cr-z|map_l;174;76;10;9;2.6428738
dec;map|resub|map_l|cr-z|map_l;304;304;3;3;0.34923747
i2c;map|resub|map_l|cr-z|map_l;1342;1138;20;11;4.7162223
int2float;map|resub|map_l|cr-z|map_l;260;193;16;10;4.052798
mem_ctrl;map|resub|map_l|cr-z|map_l;46836;39594;114;96;242.94095
priority;map|resub|map_l|cr-z|map_l;978;611;250;115;2.3480082
router;map|resub|map_l|cr-z|map_l;257;192;54;43;0.6150825
voter;map|resub|map_l|cr-z|map_l;13758;4691;70;41;25.08437
hyp;ref_main5;214335;124005;24801;8884;8496.882
log2;ref_main5;32060;24119;444;210;510.12766
max;ref_main5;2865;2168;287;162;33.953552
multiplier;ref_main5;27062;19150;274;149;320.4294
sin;ref_main5;5416;4149;225;123;346.41962
sqrt;ref_main5;24618;12974;5058;2299;1038.0165
square;ref_main5;18484;9149;250;126;107.09049
arbiter;ref_main5;11839;4513;87;21;112.396904
cavlc;ref_main5;693;524;16;13;588.5812
ctrl;ref_main5;174;73;10;13;13.00808
dec;ref_main5;304;304;3;3;0.26070726
i2c;ref_main5;1342;1121;20;12;16.644451
int2float;ref_main5;260;197;16;10;10.238928
mem_ctrl;ref_main5;46836;38867;114;97;1403.7584
priority;ref_main5;978;542;250;117;7.9858184
router;ref_main5;257;190;54;42;1.9372178
voter;ref_main5;13758;4253;70;48;66.41765
