benchmark;flow;op_num;op_type;size;depth;runtime
adder;map_l_3;0;0;1020;255;0.0
adder;map_l_3;1;0;1020;255;0.0
adder;map_l_3;2;3;384;129;0.0
adder;map_l_3;3;1;384;129;0.0
adder;map_l_3;0;0;1020;255;0.0
adder;map_l_3;1;0;1020;255;0.0
adder;map_l_3;2;3;384;129;0.0
adder;map_l_3;3;1;384;129;0.0
adder;map_l_5;0;0;1020;255;0.0
adder;map_l_5;1;0;1020;255;0.0
adder;map_l_5;2;3;384;129;0.0
adder;map_l_5;3;1;384;129;0.0
bar;map_l_3;0;0;3336;12;0.0
bar;map_l_3;1;0;3336;12;0.0
bar;map_l_3;2;3;2588;13;0.0
bar;map_l_3;3;1;2588;13;0.0
bar;map_l_3;0;0;3336;12;0.0
bar;map_l_3;1;0;3336;12;0.0
bar;map_l_3;2;3;2588;13;0.0
bar;map_l_3;3;1;2588;13;0.0
bar;map_l_5;0;0;3336;12;0.0
bar;map_l_5;1;0;3336;12;0.0
bar;map_l_5;2;3;2588;13;0.0
bar;map_l_5;3;1;2588;13;0.0
div;map_l_3;0;0;57247;4372;0.0
div;map_l_3;1;0;57247;4372;0.0
div;map_l_3;2;3;36875;2238;0.0
div;map_l_3;3;1;36875;2238;0.0
div;map_l_3;0;0;57247;4372;0.0
div;map_l_3;1;0;57247;4372;0.0
div;map_l_3;2;3;36875;2238;0.0
div;map_l_3;3;1;36875;2238;0.0
div;map_l_5;0;0;57247;4372;0.0
div;map_l_5;1;0;57247;4372;0.0
div;map_l_5;2;3;36875;2238;0.0
div;map_l_5;3;1;36875;2238;0.0
hyp;map_l_3;0;0;214335;24801;0.0
hyp;map_l_3;1;0;214335;24801;0.0
hyp;map_l_3;2;3;137054;8885;0.0
hyp;map_l_3;3;1;137054;8885;0.0
hyp;map_l_3;0;0;214335;24801;0.0
hyp;map_l_3;1;0;214335;24801;0.0
hyp;map_l_3;2;3;137054;8885;0.0
hyp;map_l_3;3;1;137054;8885;0.0
log2;map_l_3;0;0;32060;444;0.0
log2;map_l_3;1;0;32060;444;0.0
log2;map_l_3;2;3;24295;206;0.0
log2;map_l_3;3;1;24295;206;0.0
max;map_l_3;0;0;2865;287;0.0
max;map_l_3;1;0;2865;287;0.0
max;map_l_3;2;3;2171;162;0.0
max;map_l_3;3;1;2171;162;0.0
log2;map_l_3;0;0;32060;444;0.0
log2;map_l_3;1;0;32060;444;0.0
log2;map_l_3;2;3;24295;206;0.0
log2;map_l_3;3;1;24295;206;0.0
hyp;map_l_5;0;0;214335;24801;0.0
hyp;map_l_5;1;0;214335;24801;0.0
hyp;map_l_5;2;3;137054;8885;0.0
