benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l2_crz_map_resub;1020;384;255;129;0.122901976
priority;map_resub_l2_crz_map_resub;978;460;250;103;0.10949913
dec;map_resub_l2_crz_map_resub;304;304;3;3;0.0673656
int2float;map_resub_l2_crz_map_resub;260;191;16;10;0.20539811
ctrl;map_resub_l2_crz_map_resub;174;73;10;10;0.27779502
router;map_resub_l2_crz_map_resub;257;187;54;43;0.096033014
bar;map_resub_l2_crz_map_resub;3336;2588;12;13;0.59264266
i2c;map_resub_l2_crz_map_resub;1342;1123;20;11;0.4509325
max;map_resub_l2_crz_map_resub;2865;2264;287;159;0.90128964
voter;map_resub_l2_crz_map_resub;13758;4226;70;46;2.341222
square;map_resub_l2_crz_map_resub;18484;9079;250;126;3.2819695
arbiter;map_resub_l2_crz_map_resub;11839;6866;87;60;4.225217
sqrt;map_resub_l2_crz_map_resub;24618;12690;5058;2372;4.4928308
sin;map_resub_l2_crz_map_resub;5416;4137;225;127;5.762839
multiplier;map_resub_l2_crz_map_resub;27062;19087;274;149;6.0995946
log2;map_resub_l2_crz_map_resub;32060;24100;444;206;8.395334
cavlc;map_resub_l2_crz_map_resub;693;534;16;13;11.775824
div;map_resub_l2_crz_map_resub;57247;39463;4372;2752;11.316204
mem_ctrl;map_resub_l2_crz_map_resub;46836;38907;114;96;13.519098
hyp;map_resub_l2_crz_map_resub;214335;123756;24801;8911;32.024685
