benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l2_map;1020;384;255;129;0.057485413
dec;map_resub_l2_map;304;304;3;3;0.03937068
router;map_resub_l2_map;257;208;54;35;0.036262937
ctrl;map_resub_l2_map;174;73;10;10;0.13365857
priority;map_resub_l2_map;978;504;250;83;0.09406732
int2float;map_resub_l2_map;260;191;16;10;0.13412212
i2c;map_resub_l2_map;1342;1129;20;11;0.2109398
bar;map_resub_l2_map;3336;2622;12;12;0.3667638
max;map_resub_l2_map;2865;2406;287;150;0.7650207
voter;map_resub_l2_map;13758;4436;70;40;1.6580372
square;map_resub_l2_map;18484;9120;250;126;2.405491
arbiter;map_resub_l2_map;11839;6872;87;59;3.173049
sin;map_resub_l2_map;5416;4203;225;109;3.5718155
sqrt;map_resub_l2_map;24618;12802;5058;2211;3.6461296
multiplier;map_resub_l2_map;27062;19203;274;134;4.5901747
cavlc;map_resub_l2_map;693;539;16;13;6.984652
log2;map_resub_l2_map;32060;24133;444;201;6.160964
div;map_resub_l2_map;57247;41515;4372;2206;9.031214
mem_ctrl;map_resub_l2_map;46836;39218;114;83;10.26057
hyp;map_resub_l2_map;214335;124174;24801;8753;28.910042
