benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l3_add_map_map_map_map;1020;384;255;129;0.080725655
adder;map_resub_l3_add_map_map_map_resub;1020;384;255;129;0.07728408
adder;map_resub_l3_add_map_map_map_mapd;1020;384;255;129;0.08015623
adder;map_resub_l3_add_map_map_map_crz;1020;384;255;129;0.07962546
adder;map_resub_l3_add_map_map_map_cr;1020;384;255;129;0.07945157
adder;map_resub_l3_add_map_map_resub_map;1020;384;255;129;0.076937236
adder;map_resub_l3_add_map_map_resub_resub;1020;384;255;129;0.07408498
adder;map_resub_l3_add_map_map_resub_mapd;1020;384;255;129;0.07693441
adder;map_resub_l3_add_map_map_resub_crz;1020;384;255;129;0.07645449
adder;map_resub_l3_add_map_map_resub_cr;1020;384;255;129;0.076247774
adder;map_resub_l3_add_map_map_mapd_map;1020;384;255;129;0.07976981
adder;map_resub_l3_add_map_map_mapd_resub;1020;384;255;129;0.07691161
adder;map_resub_l3_add_map_map_mapd_mapd;1020;384;255;129;0.08010009
adder;map_resub_l3_add_map_map_mapd_crz;1020;384;255;129;0.07943054
adder;map_resub_l3_add_map_map_mapd_cr;1020;384;255;129;0.07904802
adder;map_resub_l3_add_map_map_crz_map;1020;384;255;129;0.079591356
adder;map_resub_l3_add_map_map_crz_resub;1020;384;255;129;0.07671932
adder;map_resub_l3_add_map_map_crz_mapd;1020;384;255;129;0.07956418
adder;map_resub_l3_add_map_map_crz_crz;1020;384;255;129;0.07899966
adder;map_resub_l3_add_map_map_crz_cr;1020;384;255;129;0.07885559
adder;map_resub_l3_add_map_map_cr_map;1020;384;255;129;0.07930539
adder;map_resub_l3_add_map_map_cr_resub;1020;384;255;129;0.07645355
adder;map_resub_l3_add_map_map_cr_mapd;1020;384;255;129;0.079305254
adder;map_resub_l3_add_map_map_cr_crz;1020;384;255;129;0.078841045
adder;map_resub_l3_add_map_map_cr_cr;1020;384;255;129;0.078593224
adder;map_resub_l3_add_map_resub_map_map;1020;384;255;129;0.076517
adder;map_resub_l3_add_map_resub_map_resub;1020;384;255;129;0.07364728
adder;map_resub_l3_add_map_resub_map_mapd;1020;384;255;129;0.07650959
adder;map_resub_l3_add_map_resub_map_crz;1020;384;255;129;0.07601772
adder;map_resub_l3_add_map_resub_map_cr;1020;384;255;129;0.075810984
adder;map_resub_l3_add_map_resub_resub_map;1020;384;255;129;0.07367588
adder;map_resub_l3_add_map_resub_resub_resub;1020;384;255;129;0.07079769
adder;map_resub_l3_add_map_resub_resub_mapd;1020;384;255;129;0.073664896
adder;map_resub_l3_add_map_resub_resub_crz;1020;384;255;129;0.07326219
adder;map_resub_l3_add_map_resub_resub_cr;1020;384;255;129;0.072949
adder;map_resub_l3_add_map_resub_mapd_map;1020;384;255;129;0.07648002
adder;map_resub_l3_add_map_resub_mapd_resub;1020;384;255;129;0.073627435
adder;map_resub_l3_add_map_resub_mapd_mapd;1020;384;255;129;0.076500386
adder;map_resub_l3_add_map_resub_mapd_crz;1020;384;255;129;0.07588655
adder;map_resub_l3_add_map_resub_mapd_cr;1020;384;255;129;0.07579668
adder;map_resub_l3_add_map_resub_crz_map;1020;384;255;129;0.07637649
adder;map_resub_l3_add_map_resub_crz_resub;1020;384;255;129;0.07322181
adder;map_resub_l3_add_map_resub_crz_mapd;1020;384;255;129;0.076073445
adder;map_resub_l3_add_map_resub_crz_crz;1020;384;255;129;0.07553447
adder;map_resub_l3_add_map_resub_crz_cr;1020;384;255;129;0.07542166
adder;map_resub_l3_add_map_resub_cr_map;1020;384;255;129;0.07612399
adder;map_resub_l3_add_map_resub_cr_resub;1020;384;255;129;0.07324215
adder;map_resub_l3_add_map_resub_cr_mapd;1020;384;255;129;0.07610616
adder;map_resub_l3_add_map_resub_cr_crz;1020;384;255;129;0.07556945
adder;map_resub_l3_add_map_resub_cr_cr;1020;384;255;129;0.075398244
adder;map_resub_l3_add_map_mapd_map_map;1020;384;255;129;0.07958029
adder;map_resub_l3_add_map_mapd_map_resub;1020;384;255;129;0.07650893
adder;map_resub_l3_add_map_mapd_map_mapd;1020;384;255;129;0.079358205
adder;map_resub_l3_add_map_mapd_map_crz;1020;384;255;129;0.07879356
adder;map_resub_l3_add_map_mapd_map_cr;1020;384;255;129;0.07865077
adder;map_resub_l3_add_map_mapd_resub_map;1020;384;255;129;0.07644629
adder;map_resub_l3_add_map_mapd_resub_resub;1020;384;255;129;0.073605254
adder;map_resub_l3_add_map_mapd_resub_mapd;1020;384;255;129;0.07644878
adder;map_resub_l3_add_map_mapd_resub_crz;1020;384;255;129;0.07586359
adder;map_resub_l3_add_map_mapd_resub_cr;1020;384;255;129;0.07573378
adder;map_resub_l3_add_map_mapd_mapd_map;1020;384;255;129;0.079358205
