benchmark;flow;size;size_mig;depth;depth_mig;runtime
adder;map_resub_l8;1020;384;255;129;0.088828295
router;map_resub_l8;257;183;54;41;0.08042306
dec;map_resub_l8;304;304;3;3;0.11857085
priority;map_resub_l8;978;455;250;103;0.16106598
int2float;map_resub_l8;260;191;16;10;0.3306293
ctrl;map_resub_l8;174;73;10;10;0.37170812
i2c;map_resub_l8;1342;1113;20;11;0.48750755
bar;map_resub_l8;3336;2568;12;13;0.95825654
max;map_resub_l8;2865;2164;287;161;1.560215
voter;map_resub_l8;13758;4108;70;41;2.5164366
square;map_resub_l8;18484;9064;250;126;3.4537625
sqrt;map_resub_l8;24618;12641;5058;2327;5.8650036
arbiter;map_resub_l8;11839;6866;87;60;7.269343
multiplier;map_resub_l8;27062;19086;274;149;9.880045
sin;map_resub_l8;5416;4132;225;127;14.378357
log2;map_resub_l8;32060;24091;444;204;13.402095
div;map_resub_l8;57247;38686;4372;2754;17.55887
mem_ctrl;map_resub_l8;46836;38645;114;97;24.349224
cavlc;map_resub_l8;693;526;16;13;28.783194
hyp;map_resub_l8;214335;123750;24801;8911;47.821396
