benchmark;flow;size;size_mig;depth;depth_mig;runtime
router;map_resub_map_resub_mapd_resub;257;192;54;46;0.031440467
dec;map_resub_map_resub_mapd_resub;304;304;3;3;0.035168063
priority;map_resub_map_resub_mapd_resub;978;462;250;123;0.083513774
adder;map_resub_map_resub_mapd_resub;1020;384;255;129;0.057436015
int2float;map_resub_map_resub_mapd_resub;260;192;16;10;0.15417278
ctrl;map_resub_map_resub_mapd_resub;174;73;10;11;0.16647005
i2c;map_resub_map_resub_mapd_resub;1342;1130;20;13;0.1993755
bar;map_resub_map_resub_mapd_resub;3336;2592;12;13;0.35083133
max;map_resub_map_resub_mapd_resub;2865;2283;287;167;0.62359715
voter;map_resub_map_resub_mapd_resub;13758;4422;70;53;1.532595
square;map_resub_map_resub_mapd_resub;18484;9147;250;126;2.138665
arbiter;map_resub_map_resub_mapd_resub;11839;6866;87;61;2.6627724
sqrt;map_resub_map_resub_mapd_resub;24618;12860;5058;2375;3.2751908
sin;map_resub_map_resub_mapd_resub;5416;4137;225;130;4.633214
multiplier;map_resub_map_resub_mapd_resub;27062;19084;274;149;4.267877
log2;map_resub_map_resub_mapd_resub;32060;24097;444;209;5.6700926
div;map_resub_map_resub_mapd_resub;57247;40148;4372;3091;7.79836
cavlc;map_resub_map_resub_mapd_resub;693;538;16;13;10.826376
mem_ctrl;map_resub_map_resub_mapd_resub;46836;39268;114;99;9.824408
hyp;map_resub_map_resub_mapd_resub;214335;123703;24801;8933;26.135761
